"","Sample","Mouse","Treatment_des","Date","reads_pre_filt","reads_post_filt","host_percent"
"126","C06M3OP","C06M3","Optimal","02/10/2020",28813746,28192362,2.57
"127","C06M3HT","C06M3","Heat","19/10/2020",28450490,27871824,6.36
"128","C06M3HR","C06M3","Heat_rest","25/10/2020",18911964,18306176,7.54
"129","C06M3CD","C06M3","Cold","04/11/2020",28948792,27899626,13.07
"130","C06M3CR","C06M3","Cold_rest","10/11/2020",53439086,51992182,4.01
"131","C06M3DT","C06M3","Diet","17/11/2020",27798766,27083016,3.54
"132","C06M3DR","C06M3","Diet Rest","23/11/2020",22467906,21972496,1.58
"133","C06M4OP","C06M4","Optimal","02/10/2020",34495360,33639654,0.9
"134","C06M4HT","C06M4","Heat","19/10/2020",18510006,18068660,4.08
"135","C06M4HR","C06M4","Heat_rest","25/10/2020",44604836,43670266,1.58
"136","C06M4CD","C06M4","Cold","04/11/2020",20374152,19734312,4.46
"137","C06M4CR","C06M4","Cold_rest","10/11/2020",21828276,21283568,1.34
"138","C06M4DT","C06M4","Diet","17/11/2020",24231184,23668652,4.01
"139","C06M4DR","C06M4","Diet Rest","23/11/2020",36336498,35448078,0.68
"140","C06M5OP","C06M5","Optimal","02/10/2020",46484304,45552506,1.78
"141","C06M5HT","C06M5","Heat","19/10/2020",22636328,22134952,14.75
"142","C06M5HR","C06M5","Heat_rest","25/10/2020",58239556,56344462,2.63
"143","C06M5CD","C06M5","Cold","04/11/2020",46486028,45236520,28.62
"144","C06M5CR","C06M5","Cold_rest","10/11/2020",27500480,26786892,0.9
"145","C06M5DT","C06M5","Diet","17/11/2020",30558864,29869650,2.66
"146","C06M5DR","C06M5","Diet Rest","23/11/2020",24175712,23735852,0.54
"147","C07M3OP","C07M3","Optimal","02/10/2020",72595302,71541164,3.1
"148","C07M3HT","C07M3","Heat","19/10/2020",49343298,48605500,2.52
"149","C07M3HR","C07M3","Heat_rest","25/10/2020",33752378,33148226,3.44
"150","C07M3CD","C07M3","Cold","04/11/2020",32813782,32426464,1.96
"151","C07M3CR","C07M3","Cold_rest","10/11/2020",44529522,43976872,1.82
"152","C07M3DT","C07M3","Diet","17/11/2020",28253512,27702930,4.68
"153","C07M3DR","C07M3","Diet Rest","23/11/2020",41255610,40787564,2.59
"154","C08M1OP","C08M1","Optimal","02/10/2020",55733910,55099494,2.45
"155","C08M1HT","C08M1","Heat","19/10/2020",28684124,28365122,3.21
"156","C08M1HR","C08M1","Heat_rest","25/10/2020",7842386,7757064,1.66
"157","C08M1CD","C08M1","Cold","04/11/2020",56762564,55631532,5.57
"158","C08M1CR","C08M1","Cold_rest","10/11/2020",34613802,34188632,0.98
"159","C08M1DT","C08M1","Diet","17/11/2020",46963380,46343582,2
"160","C08M1DR","C08M1","Diet Rest","23/11/2020",29721138,29260414,1.17
"161","C10F1OP","C10F1","Optimal","02/10/2020",33598978,33325122,2.72
"162","C10F1HT","C10F1","Heat","19/10/2020",25176926,24260584,1.33
"163","C10F1HR","C10F1","Heat_rest","25/10/2020",19927540,19722700,0.78
"164","C10F1CD","C10F1","Cold","04/11/2020",41653238,41331824,3.81
"165","C10F1CR","C10F1","Cold_rest","10/11/2020",48189174,47783640,1.41
"166","C10F1DT","C10F1","Diet","17/11/2020",60530290,59428676,3.51
"167","C10F1DR","C10F1","Diet Rest","23/11/2020",12826056,12687286,0.11
"168","C10F2OP","C10F2","Optimal","02/10/2020",36033774,35579408,2.65
"169","C10F2HT","C10F2","Heat","19/10/2020",43694852,43110252,1.34
"170","C10F2HR","C10F2","Heat_rest","25/10/2020",25933332,25560402,0.33
"171","C10F2CD","C10F2","Cold","04/11/2020",39192426,38755238,1.58
"172","C10F2CR","C10F2","Cold_rest","10/11/2020",44519154,43698782,1.61
"173","C10F2DT","C10F2","Diet","17/11/2020",37208082,36560066,6.1
"174","C10F2DR","C10F2","Diet Rest","23/11/2020",28891296,28489280,1.95
"175","C10F3OP","C10F3","Optimal","02/10/2020",88840932,87307330,7.13
"176","C10F3HT","C10F3","Heat","19/10/2020",64955876,63438400,2.16
"177","C10F3HR","C10F3","Heat_rest","25/10/2020",86280480,83886488,1.56
"178","C10F3CD","C10F3","Cold","04/11/2020",46184620,45294594,1.7
"179","C10F3CR","C10F3","Cold_rest","10/11/2020",74873762,73341510,10.13
